customer_id,event_dttm_Deli,event_type_nm,client_defined_event_type_nm,event_desc,operaton_amt_100 (rupees),active phone call,remote desktop protokol,emulator,f,device_id,os,device_model,screensize,agentconnectiontype,screen_hash,device for user,reciever,password change,fast change of ip,ip not equal to previous
customer_id_0,2022-10-01 10:51:36,CHANGE_PASSWORD,RENEW,Login password recovery,0,,,,St Petersburg,,,,,,287067538,new,old,,,IP differes
customer_id_0,2022-10-01 11:15:21,SESSION_SIGNIN,SESSION_SIGNIN,Login,0,,,,St Petersburg,,,,,,287067538,new,old,happened on the same day,,IP differes
customer_id_0,2022-10-01 11:31:55,SESSION_SIGNIN,SESSION_SIGNIN,Login,0,,,,St Petersburg,,,,,,-205759950,new,old,happened on the same day,,IP differes
customer_id_0,2022-10-01 11:45:42,SESSION_SIGNIN,SESSION_SIGNIN,Login,0,,,,St Petersburg,,,,,,287067538,new,old,happened on the same day,,IP differes
customer_id_0,2022-10-03 10:28:24,DEPOSIT,100_BKO,Payment order,116820,1,FALSE,,,device_id_1,iOS,iPhone,375x812,wifi,,,old,,,
customer_id_0,2022-10-03 10:29:37,SESSION_SIGNIN,SESSION_SIGNIN,Login,0,,,,St Petersburg,,,,,,287067538,new,old,happened on the same day,,IP differes
customer_id_0,2022-10-03 10:40:09,SESSION_SIGNIN,SESSION_SIGNIN,Login,0,,,,St Petersburg,,,,,,-205759950,new,old,happened on the same day,,IP differes
customer_id_0,2022-10-03 10:41:27,DEPOSIT,100_BKO,Payment order,116820,0,FALSE,,,device_id_1,iOS,iPhone,375x812,wifi,,,old,,,
customer_id_0,2022-10-03 10:41:52,SESSION_SIGNIN,SESSION_SIGNIN,Login,0,,,,St Petersburg,,,,,,287067538,new,old,happened on the same day,,IP differes
customer_id_0,2022-10-03 10:50:35,SESSION_SIGNIN,SESSION_SIGNIN,Login,0,,,,St Petersburg,,,,,,287067538,new,old,happened on the same day,,IP differes
customer_id_0,2022-10-03 13:35:11,SESSION_SIGNIN,SESSION_SIGNIN,Login,0,,,,St Petersburg,,,,,,287067538,new,old,happened on the same day,,IP differes
customer_id_0,2022-10-03 13:46:27,SESSION_SIGNIN,SESSION_SIGNIN,Login,0,,,,St Petersburg,,,,,,287067538,new,old,happened on the same day,,IP differes
customer_id_0,2022-10-03 13:57:15,PAYMENT,C2C_REQUEST,Initial C2C request outgoing (C01 Message 477),118000,,,,St Petersburg,,,,,,287067538,new,new,,,
customer_id_0,2022-10-03 13:57:17,CLIENT_DEFINED,C2C_RESPONSE,Secondary request C2C outgoing (C02 Message 291),118000,,,,St Petersburg,,,,,,287067538,new,new,,,
customer_id_0,2022-10-03 14:24:11,SESSION_SIGNIN,SESSION_SIGNIN,Login,0,,,,St Petersburg,,,,,,287067538,new,old,happened on the same day,,IP differes
customer_id_0,2022-10-03 14:27:18,DEPOSIT,100_BKO,Payment order,472000,0,FALSE,,,device_id_1,iOS,iPhone,375x812,cellular,,,old,,,
